downtime_id,machine_id,date,downtime_category,duration_hours,downtime_cost,shift_affected,was_scheduled,impact_description
DT-000037,MCH-001,2025-09-04,Planned Maintenance,2.0,50.95,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000038,MCH-001,2024-04-25,Planned Maintenance,3.25,82.97,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000039,MCH-001,2024-10-21,Planned Maintenance,1.01,25.81,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000040,MCH-001,2024-02-28,Planned Maintenance,2.04,51.98,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000041,MCH-001,2024-01-22,Planned Maintenance,2.46,62.65,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000042,MCH-001,2025-08-22,Planned Maintenance,3.2,81.59,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000043,MCH-001,2024-02-12,Planned Maintenance,3.33,85.02,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000044,MCH-001,2024-02-13,Planned Maintenance,2.48,63.34,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000045,MCH-001,2024-10-04,Unplanned Breakdown,5.58,360.99,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000046,MCH-001,2024-05-22,Unplanned Breakdown,4.37,591.11,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000047,MCH-001,2024-01-05,Unplanned Breakdown,7.36,810.53,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000048,MCH-001,2024-09-16,Unplanned Breakdown,2.61,394.38,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000049,MCH-001,2025-05-20,Unplanned Breakdown,5.2,538.97,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000050,MCH-001,2024-02-08,Unplanned Breakdown,3.94,508.76,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000051,MCH-001,2024-08-22,Unplanned Breakdown,8.67,534.48,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000052,MCH-001,2024-07-16,Unplanned Breakdown,8.76,477.13,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000053,MCH-001,2024-04-04,Unplanned Breakdown,4.97,660.07,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000054,MCH-001,2024-10-15,Unplanned Breakdown,4.62,634.89,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000055,MCH-001,2024-03-06,Unplanned Breakdown,5.1,709.14,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000056,MCH-001,2025-12-30,Unplanned Breakdown,6.64,487.34,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000057,MCH-001,2025-08-25,Unplanned Breakdown,0.34,484.15,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000058,MCH-001,2024-08-29,Unplanned Breakdown,3.54,226.68,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000059,MCH-001,2024-10-31,Unplanned Breakdown,5.76,397.09,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000060,MCH-001,2025-05-13,Unplanned Breakdown,7.14,711.25,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000061,MCH-001,2024-09-05,Unplanned Breakdown,4.83,700.31,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000062,MCH-001,2025-09-04,Unplanned Breakdown,3.6,568.66,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000063,MCH-001,2024-08-23,Unplanned Breakdown,3.29,573.39,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000064,MCH-001,2024-07-05,Unplanned Breakdown,5.37,361.61,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000065,MCH-001,2025-09-09,Unplanned Breakdown,4.08,748.01,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000066,MCH-001,2025-07-23,Unplanned Breakdown,7.29,759.65,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000067,MCH-001,2024-07-05,Unplanned Breakdown,4.44,744.24,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000068,MCH-001,2025-11-14,Tooling Change,0.54,13.77,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000069,MCH-001,2025-02-11,Tooling Change,0.55,14.12,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000070,MCH-001,2024-08-05,Tooling Change,0.36,9.3,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000071,MCH-001,2025-11-25,Tooling Change,0.65,16.52,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000072,MCH-001,2024-02-29,Tooling Change,0.46,11.7,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000073,MCH-001,2025-05-06,Tooling Change,0.7,17.9,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000074,MCH-001,2025-12-05,Tooling Change,0.34,8.61,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000075,MCH-001,2025-02-10,Tooling Change,0.61,15.48,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000076,MCH-001,2025-03-20,Tooling Change,0.57,14.46,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000077,MCH-001,2025-01-09,Tooling Change,0.81,20.66,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000078,MCH-001,2025-09-16,Tooling Change,0.59,15.15,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000079,MCH-001,2024-07-30,Tooling Change,0.78,19.97,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000080,MCH-001,2025-02-11,Tooling Change,0.62,15.84,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000081,MCH-001,2025-12-18,Tooling Change,1.16,29.61,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000082,MCH-001,2025-12-05,Tooling Change,0.59,15.15,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000083,MCH-001,2025-06-17,Tooling Change,0.57,14.46,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000084,MCH-001,2024-12-06,Tooling Change,0.76,19.28,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000085,MCH-001,2025-05-12,Tooling Change,0.94,24.1,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000086,MCH-001,2025-04-23,Tooling Change,0.54,13.77,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000087,MCH-001,2025-10-01,Tooling Change,0.73,18.59,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000088,MCH-001,2025-10-06,Tooling Change,0.47,12.04,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000089,MCH-001,2024-07-12,Tooling Change,0.96,24.44,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000090,MCH-001,2025-04-09,Tooling Change,0.5,12.73,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000091,MCH-001,2024-10-23,Tooling Change,0.85,21.68,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000092,MCH-001,2025-05-30,Tooling Change,0.51,13.08,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000093,MCH-001,2024-01-22,Tooling Change,0.99,25.12,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000094,MCH-001,2025-03-20,Tooling Change,0.34,8.61,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000095,MCH-001,2024-10-07,Tooling Change,0.53,13.42,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000096,MCH-001,2025-09-19,Tooling Change,0.81,20.66,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000097,MCH-001,2024-01-04,Tooling Change,0.88,22.37,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000098,MCH-001,2024-11-19,Tooling Change,0.43,11.02,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000099,MCH-001,2025-02-13,Tooling Change,0.65,16.52,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000100,MCH-001,2024-03-26,Tooling Change,0.88,22.37,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000101,MCH-001,2025-06-02,Tooling Change,0.49,12.39,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000102,MCH-001,2024-10-03,Tooling Change,0.69,17.56,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000103,MCH-001,2025-10-22,Tooling Change,0.53,13.42,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000104,MCH-001,2025-09-17,Tooling Change,0.63,16.17,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000105,MCH-001,2024-07-22,Tooling Change,0.5,12.73,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000106,MCH-001,2024-04-15,Tooling Change,0.4,10.33,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000107,MCH-001,2025-02-13,Tooling Change,0.8,20.3,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000108,MCH-001,2025-09-10,Tooling Change,0.94,24.1,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000109,MCH-001,2025-06-24,Tooling Change,0.45,11.35,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000110,MCH-001,2025-04-23,Tooling Change,0.92,23.41,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000111,MCH-001,2025-01-27,Tooling Change,0.62,15.84,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000112,MCH-001,2025-11-17,Tooling Change,0.74,18.94,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000113,MCH-001,2025-03-31,Tooling Change,0.68,17.21,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000114,MCH-001,2025-07-02,Tooling Change,0.81,20.66,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000115,MCH-001,2024-07-12,Tooling Change,0.47,12.04,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000116,MCH-001,2024-02-08,Tooling Change,0.88,22.37,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000117,MCH-001,2024-09-05,Tooling Change,0.45,11.35,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000118,MCH-001,2024-07-10,Tooling Change,0.57,14.46,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000119,MCH-001,2025-03-27,Tooling Change,0.34,8.61,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000120,MCH-001,2025-09-05,Tooling Change,0.68,17.21,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000121,MCH-001,2025-10-31,Tooling Change,0.76,19.28,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000122,MCH-001,2025-03-05,Tooling Change,0.46,11.7,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000123,MCH-001,2024-02-28,Tooling Change,0.69,17.56,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000124,MCH-001,2024-07-29,Tooling Change,0.5,12.73,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000125,MCH-001,2024-09-03,Tooling Change,0.89,22.72,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000126,MCH-001,2025-12-24,Tooling Change,0.74,18.94,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000127,MCH-001,2024-11-13,Tooling Change,0.93,23.75,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000128,MCH-001,2025-02-12,Tooling Change,0.99,25.12,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000129,MCH-001,2025-05-27,Tooling Change,0.34,8.61,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000130,MCH-001,2024-12-31,Tooling Change,0.88,22.37,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000131,MCH-001,2025-02-06,Tooling Change,0.47,12.04,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000132,MCH-001,2024-04-26,Tooling Change,0.65,16.52,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000133,MCH-001,2024-05-27,Tooling Change,0.58,14.8,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000134,MCH-001,2024-01-02,Tooling Change,0.66,16.86,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000135,MCH-001,2024-12-05,Tooling Change,1.0,25.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000136,MCH-001,2024-10-30,Tooling Change,0.34,8.61,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000137,MCH-001,2024-08-26,Tooling Change,0.8,20.3,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000138,MCH-001,2025-02-20,Tooling Change,0.61,15.48,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000139,MCH-001,2024-01-01,Tooling Change,0.86,22.03,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000140,MCH-001,2024-06-28,Tooling Change,0.72,18.25,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000141,MCH-001,2024-09-03,Tooling Change,0.8,20.3,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000142,MCH-001,2024-10-17,Tooling Change,0.46,11.7,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000143,MCH-001,2024-04-08,Tooling Change,0.77,19.62,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000144,MCH-001,2025-05-07,Tooling Change,0.58,14.8,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000145,MCH-001,2025-02-05,Tooling Change,0.65,16.52,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000146,MCH-001,2024-03-18,Tooling Change,0.94,24.1,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000147,MCH-001,2025-11-26,Tooling Change,0.78,19.97,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000148,MCH-001,2025-10-21,Tooling Change,0.84,21.34,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000149,MCH-001,2024-03-22,Tooling Change,0.77,19.62,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000150,MCH-001,2025-06-10,Tooling Change,0.34,8.61,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000151,MCH-001,2024-12-26,Tooling Change,0.65,16.52,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000152,MCH-001,2024-08-20,Tooling Change,0.78,19.97,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000153,MCH-001,2025-08-21,Tooling Change,0.84,21.34,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000154,MCH-001,2025-04-01,Tooling Change,0.53,13.42,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000155,MCH-001,2024-08-22,Tooling Change,0.53,13.42,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000156,MCH-001,2025-08-13,Tooling Change,0.34,8.61,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000157,MCH-001,2024-08-02,Tooling Change,0.7,17.9,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000158,MCH-001,2025-06-23,Tooling Change,0.66,16.86,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000159,MCH-001,2025-09-08,Tooling Change,0.68,17.21,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000160,MCH-001,2024-06-21,Tooling Change,0.73,18.59,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000161,MCH-001,2025-10-22,Tooling Change,1.07,27.19,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000162,MCH-001,2025-05-26,Tooling Change,0.38,9.64,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000163,MCH-001,2024-02-15,Tooling Change,0.89,22.72,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000164,MCH-001,2024-02-16,Tooling Change,0.42,10.68,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000165,MCH-001,2024-02-12,Material Shortage,5.7,145.27,Morning (6AM-2PM),False,Waiting for material delivery
DT-000166,MCH-001,2024-02-02,Material Shortage,9.27,236.51,Morning (6AM-2PM),False,Waiting for material delivery
DT-000167,MCH-001,2024-09-11,Material Shortage,5.14,131.17,Morning (6AM-2PM),False,Waiting for material delivery
DT-000168,MCH-001,2025-01-20,Material Shortage,4.6,117.38,Night (10PM-6AM),False,Waiting for material delivery
DT-000169,MCH-001,2024-10-18,Material Shortage,7.67,195.53,Night (10PM-6AM),False,Waiting for material delivery
DT-000170,MCH-001,2024-07-08,Material Shortage,9.44,240.62,Morning (6AM-2PM),False,Waiting for material delivery
DT-000171,MCH-001,2025-04-16,Material Shortage,7.84,200.0,Morning (6AM-2PM),False,Waiting for material delivery
DT-000172,MCH-001,2024-06-26,Material Shortage,5.26,134.26,Morning (6AM-2PM),False,Waiting for material delivery
DT-000173,MCH-001,2025-02-06,Quality Hold,3.04,77.46,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000174,MCH-001,2025-05-23,Quality Hold,1.71,43.71,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000175,MCH-001,2025-11-04,Quality Hold,2.16,55.08,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000176,MCH-001,2024-01-29,Quality Hold,1.63,41.65,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000177,MCH-001,2024-11-20,Quality Hold,2.73,69.54,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000178,MCH-001,2024-09-20,Quality Hold,1.81,46.13,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000179,MCH-001,2024-04-09,Quality Hold,1.62,41.31,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000180,MCH-001,2024-12-23,Quality Hold,1.36,34.76,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000181,MCH-001,2024-11-15,Quality Hold,2.61,66.43,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000182,MCH-001,2025-02-14,Quality Hold,1.19,30.29,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000183,MCH-001,2024-09-18,Quality Hold,1.28,32.7,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000184,MCH-001,2024-08-07,Quality Hold,2.08,53.01,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000185,MCH-001,2025-07-22,Quality Hold,2.3,58.52,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000186,MCH-001,2024-11-19,Calibration,1.03,26.16,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000187,MCH-001,2024-05-07,Calibration,1.12,28.57,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000188,MCH-001,2025-08-21,Calibration,1.73,44.06,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000189,MCH-001,2025-07-23,Calibration,1.51,38.56,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000190,MCH-001,2024-07-26,Calibration,1.36,34.76,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000191,MCH-001,2024-07-12,Calibration,0.74,18.94,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000192,MCH-001,2024-02-02,Calibration,1.2,30.64,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000193,MCH-001,2025-08-11,Calibration,1.82,46.48,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000194,MCH-001,2025-07-16,Calibration,1.8,45.78,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000195,MCH-001,2025-12-22,Calibration,1.34,34.09,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000196,MCH-001,2024-08-23,Calibration,1.28,32.7,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000197,MCH-001,2025-07-17,Calibration,1.26,32.01,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000198,MCH-001,2024-12-25,Calibration,1.84,46.82,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000199,MCH-002,2025-12-15,Planned Maintenance,3.71,94.66,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000200,MCH-002,2025-06-05,Planned Maintenance,1.78,45.44,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000201,MCH-002,2024-06-03,Planned Maintenance,2.23,56.79,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000202,MCH-002,2025-12-18,Planned Maintenance,3.04,77.46,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000203,MCH-002,2025-07-09,Planned Maintenance,2.59,66.1,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000204,MCH-002,2024-02-27,Planned Maintenance,3.7,94.32,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000205,MCH-002,2024-02-12,Planned Maintenance,2.5,63.68,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000206,MCH-002,2025-01-30,Planned Maintenance,2.03,51.64,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000207,MCH-002,2024-04-26,Planned Maintenance,2.39,60.93,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000208,MCH-002,2024-07-25,Planned Maintenance,2.79,71.25,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000209,MCH-002,2024-05-23,Planned Maintenance,0.96,24.44,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000210,MCH-002,2024-07-02,Planned Maintenance,2.15,54.74,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000211,MCH-002,2024-01-18,Planned Maintenance,2.25,57.48,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000212,MCH-002,2025-07-22,Planned Maintenance,3.55,90.53,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000213,MCH-002,2024-01-22,Planned Maintenance,1.55,39.58,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000214,MCH-002,2025-04-25,Planned Maintenance,2.3,58.52,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000215,MCH-002,2025-04-10,Planned Maintenance,2.23,56.79,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000216,MCH-002,2025-09-01,Planned Maintenance,2.59,66.1,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000217,MCH-002,2024-08-20,Planned Maintenance,2.17,55.42,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000218,MCH-002,2025-06-10,Planned Maintenance,2.38,60.59,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000219,MCH-002,2025-10-24,Planned Maintenance,2.88,73.32,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000220,MCH-002,2024-02-01,Planned Maintenance,1.8,45.78,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000221,MCH-002,2024-10-02,Planned Maintenance,1.82,46.48,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000222,MCH-002,2024-07-24,Planned Maintenance,3.93,100.17,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000223,MCH-002,2025-01-31,Planned Maintenance,2.01,51.29,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000224,MCH-002,2024-05-14,Planned Maintenance,2.2,56.11,Morning (6AM-2PM),True,Scheduled service - production rerouted
