quality_event_id,production_id,job_order_id,product_id,machine_id,operator_id,date,defect_type,severity,disposition,rework_cost,root_cause,corrective_action_taken
QE-000041,PRD-RUN-000034,JOB-00009,PRD-008,MCH-009,OPR-012,2024-11-08,Assembly Error,Minor,Use As-Is,0.0,Material Variation,True
QE-000042,PRD-RUN-000034,JOB-00009,PRD-008,MCH-009,OPR-012,2024-11-08,Assembly Error,Major,Rework,108.96,Machine Calibration,True
QE-000043,PRD-RUN-000035,JOB-00009,PRD-008,MCH-015,OPR-013,2024-11-09,Alignment Error,Minor,Rework,45.93,Material Variation,True
QE-000044,PRD-RUN-000036,JOB-00009,PRD-008,MCH-018,OPR-009,2024-11-09,Alignment Error,Minor,Rework,83.15,Operator Error,False
QE-000045,PRD-RUN-000036,JOB-00009,PRD-008,MCH-018,OPR-009,2024-11-09,Material Defect,Major,Rework,26.68,Operator Error,True
QE-000046,PRD-RUN-000037,JOB-00010,PRD-001,MCH-003,OPR-007,2024-02-14,Contamination,Major,Use As-Is,0.0,Material Variation,True
QE-000047,PRD-RUN-000037,JOB-00010,PRD-001,MCH-003,OPR-007,2024-02-14,Alignment Error,Minor,Rework,116.73,Tool Wear,False
QE-000048,PRD-RUN-000037,JOB-00010,PRD-001,MCH-003,OPR-007,2024-02-14,Dimensional Out-of-Spec,Major,Rework,43.1,Operator Error,True
QE-000049,PRD-RUN-000038,JOB-00010,PRD-001,MCH-008,OPR-011,2024-02-14,Crack/Fracture,Critical,Scrap,31.28,Machine Calibration,True
QE-000050,PRD-RUN-000038,JOB-00010,PRD-001,MCH-008,OPR-011,2024-02-14,Alignment Error,Minor,Rework,112.72,Tool Wear,True
QE-000051,PRD-RUN-000038,JOB-00010,PRD-001,MCH-008,OPR-011,2024-02-14,Alignment Error,Major,Rework,81.17,Environmental,False
QE-000052,PRD-RUN-000039,JOB-00010,PRD-001,MCH-011,OPR-014,2024-02-15,Material Defect,Critical,Scrap,28.99,Tool Wear,True
QE-000053,PRD-RUN-000039,JOB-00010,PRD-001,MCH-011,OPR-014,2024-02-15,Surface Finish Defect,Minor,Rework,24.06,Operator Error,False
QE-000054,PRD-RUN-000039,JOB-00010,PRD-001,MCH-011,OPR-014,2024-02-15,Alignment Error,Critical,Scrap,33.5,Process Drift,False
QE-000055,PRD-RUN-000040,JOB-00010,PRD-001,MCH-018,OPR-012,2024-02-15,Surface Finish Defect,Major,Scrap,35.79,Operator Error,True
QE-000056,PRD-RUN-000040,JOB-00010,PRD-001,MCH-018,OPR-012,2024-02-15,Surface Finish Defect,Major,Rework,85.18,Environmental,True
QE-000057,PRD-RUN-000040,JOB-00010,PRD-001,MCH-018,OPR-012,2024-02-15,Dimensional Out-of-Spec,Minor,Rework,32.29,Machine Calibration,False
QE-000058,PRD-RUN-000041,JOB-00011,PRD-007,MCH-003,OPR-004,2024-10-29,Surface Finish Defect,Minor,Rework,89.12,Operator Error,True
QE-000059,PRD-RUN-000041,JOB-00011,PRD-007,MCH-003,OPR-004,2024-10-29,Assembly Error,Major,Use As-Is,0.0,Environmental,True
QE-000060,PRD-RUN-000042,JOB-00011,PRD-007,MCH-008,OPR-016,2024-10-29,Contamination,Minor,Rework,53.07,Process Drift,False
QE-000061,PRD-RUN-000042,JOB-00011,PRD-007,MCH-008,OPR-016,2024-10-29,Tool Wear Damage,Minor,Rework,114.12,Material Variation,False
QE-000062,PRD-RUN-000043,JOB-00011,PRD-007,MCH-010,OPR-005,2024-10-29,Alignment Error,Minor,Use As-Is,0.0,Tool Wear,True
QE-000063,PRD-RUN-000044,JOB-00011,PRD-007,MCH-012,OPR-005,2024-10-29,Alignment Error,Critical,Scrap,59.52,Machine Calibration,True
QE-000064,PRD-RUN-000045,JOB-00011,PRD-007,MCH-018,OPR-006,2024-10-30,Tool Wear Damage,Minor,Rework,111.4,Operator Error,True
QE-000065,PRD-RUN-000045,JOB-00011,PRD-007,MCH-018,OPR-006,2024-10-30,Assembly Error,Major,Rework,18.16,Process Drift,True
QE-000066,PRD-RUN-000046,JOB-00012,PRD-004,MCH-006,OPR-016,2025-07-21,Dimensional Out-of-Spec,Minor,Use As-Is,0.0,Tool Wear,True
QE-000067,PRD-RUN-000047,JOB-00012,PRD-004,MCH-012,OPR-003,2025-07-21,Contamination,Major,Scrap,26.65,Process Drift,False
QE-000068,PRD-RUN-000048,JOB-00012,PRD-004,MCH-018,OPR-001,2025-07-21,Material Defect,Major,Use As-Is,0.0,Machine Calibration,True
QE-000069,PRD-RUN-000049,JOB-00013,PRD-003,MCH-004,OPR-002,2024-12-18,Material Defect,Minor,Rework,107.18,Tool Wear,False
QE-000070,PRD-RUN-000049,JOB-00013,PRD-003,MCH-004,OPR-002,2024-12-18,Dimensional Out-of-Spec,Minor,Rework,68.63,Machine Calibration,True
QE-000071,PRD-RUN-000049,JOB-00013,PRD-003,MCH-004,OPR-002,2024-12-18,Contamination,Minor,Rework,117.52,Environmental,False
QE-000072,PRD-RUN-000050,JOB-00013,PRD-003,MCH-008,OPR-010,2024-12-19,Alignment Error,Minor,Rework,93.67,Environmental,True
QE-000073,PRD-RUN-000050,JOB-00013,PRD-003,MCH-008,OPR-010,2024-12-19,Assembly Error,Minor,Rework,119.48,Material Variation,False
QE-000074,PRD-RUN-000050,JOB-00013,PRD-003,MCH-008,OPR-010,2024-12-19,Crack/Fracture,Major,Rework,94.42,Operator Error,True
QE-000075,PRD-RUN-000051,JOB-00013,PRD-003,MCH-007,OPR-004,2024-12-19,Assembly Error,Minor,Rework,111.09,Environmental,True
QE-000076,PRD-RUN-000051,JOB-00013,PRD-003,MCH-007,OPR-004,2024-12-19,Surface Finish Defect,Major,Scrap,22.75,Environmental,True
QE-000077,PRD-RUN-000051,JOB-00013,PRD-003,MCH-007,OPR-004,2024-12-19,Material Defect,Major,Rework,35.68,Tool Wear,True
QE-000078,PRD-RUN-000052,JOB-00013,PRD-003,MCH-017,OPR-016,2024-12-20,Crack/Fracture,Major,Rework,68.31,Tool Wear,True
QE-000079,PRD-RUN-000052,JOB-00013,PRD-003,MCH-017,OPR-016,2024-12-20,Dimensional Out-of-Spec,Minor,Rework,91.57,Process Drift,True
QE-000080,PRD-RUN-000052,JOB-00013,PRD-003,MCH-017,OPR-016,2024-12-20,Crack/Fracture,Major,Scrap,24.03,Machine Calibration,False
QE-000081,PRD-RUN-000053,JOB-00014,PRD-007,MCH-003,OPR-001,2025-07-24,Alignment Error,Minor,Rework,58.78,Material Variation,False
QE-000082,PRD-RUN-000054,JOB-00014,PRD-007,MCH-009,OPR-012,2025-07-24,Crack/Fracture,Minor,Rework,33.1,Operator Error,True
QE-000083,PRD-RUN-000055,JOB-00014,PRD-007,MCH-010,OPR-001,2025-07-24,Material Defect,Minor,Rework,112.18,Environmental,True
QE-000084,PRD-RUN-000056,JOB-00014,PRD-007,MCH-011,OPR-009,2025-07-24,Material Defect,Critical,Use As-Is,0.0,Machine Calibration,True
QE-000085,PRD-RUN-000057,JOB-00014,PRD-007,MCH-017,OPR-012,2025-07-24,Contamination,Critical,Scrap,62.8,Material Variation,False
QE-000086,PRD-RUN-000065,JOB-00017,PRD-003,MCH-004,OPR-014,2025-08-27,Crack/Fracture,Minor,Use As-Is,0.0,Machine Calibration,True
QE-000087,PRD-RUN-000065,JOB-00017,PRD-003,MCH-004,OPR-014,2025-08-27,Dimensional Out-of-Spec,Major,Rework,19.03,Environmental,False
QE-000088,PRD-RUN-000066,JOB-00017,PRD-003,MCH-009,OPR-004,2025-08-27,Crack/Fracture,Major,Use As-Is,0.0,Operator Error,False
QE-000089,PRD-RUN-000067,JOB-00017,PRD-003,MCH-006,OPR-010,2025-08-27,Material Defect,Critical,Use As-Is,0.0,Material Variation,False
QE-000090,PRD-RUN-000067,JOB-00017,PRD-003,MCH-006,OPR-010,2025-08-27,Tool Wear Damage,Minor,Rework,17.36,Machine Calibration,False
QE-000091,PRD-RUN-000068,JOB-00017,PRD-003,MCH-018,OPR-006,2025-08-28,Dimensional Out-of-Spec,Minor,Rework,119.35,Machine Calibration,True
QE-000092,PRD-RUN-000068,JOB-00017,PRD-003,MCH-018,OPR-006,2025-08-28,Tool Wear Damage,Major,Scrap,26.53,Machine Calibration,False
QE-000093,PRD-RUN-000069,JOB-00018,PRD-007,MCH-004,OPR-011,2025-10-31,Dimensional Out-of-Spec,Minor,Rework,78.24,Machine Calibration,True
QE-000094,PRD-RUN-000070,JOB-00018,PRD-007,MCH-010,OPR-005,2025-10-31,Crack/Fracture,Minor,Rework,114.52,Operator Error,False
QE-000095,PRD-RUN-000071,JOB-00018,PRD-007,MCH-010,OPR-007,2025-10-31,Material Defect,Minor,Rework,115.36,Process Drift,True
QE-000096,PRD-RUN-000072,JOB-00018,PRD-007,MCH-012,OPR-005,2025-10-31,Surface Finish Defect,Major,Scrap,39.45,Environmental,False
QE-000097,PRD-RUN-000073,JOB-00018,PRD-007,MCH-018,OPR-007,2025-10-31,Dimensional Out-of-Spec,Minor,Rework,81.72,Material Variation,True
QE-000098,PRD-RUN-000074,JOB-00019,PRD-001,MCH-003,OPR-010,2024-06-12,Contamination,Major,Rework,119.25,Tool Wear,False
QE-000099,PRD-RUN-000075,JOB-00019,PRD-001,MCH-008,OPR-010,2024-06-12,Dimensional Out-of-Spec,Minor,Rework,33.86,Operator Error,True
QE-000100,PRD-RUN-000076,JOB-00019,PRD-001,MCH-012,OPR-006,2024-06-12,Contamination,Major,Use As-Is,0.0,Machine Calibration,False
QE-000101,PRD-RUN-000077,JOB-00019,PRD-001,MCH-018,OPR-014,2024-06-12,Alignment Error,Critical,Use As-Is,0.0,Environmental,True
QE-000102,PRD-RUN-000078,JOB-00020,PRD-006,MCH-005,OPR-005,2025-09-15,Assembly Error,Minor,Rework,84.6,Tool Wear,True
QE-000103,PRD-RUN-000079,JOB-00020,PRD-006,MCH-010,OPR-015,2025-09-15,Material Defect,Major,Use As-Is,0.0,Process Drift,False
QE-000104,PRD-RUN-000079,JOB-00020,PRD-006,MCH-010,OPR-015,2025-09-15,Tool Wear Damage,Minor,Rework,96.27,Tool Wear,False
QE-000105,PRD-RUN-000080,JOB-00020,PRD-006,MCH-012,OPR-012,2025-09-15,Surface Finish Defect,Major,Rework,22.93,Process Drift,False
QE-000106,PRD-RUN-000080,JOB-00020,PRD-006,MCH-012,OPR-012,2025-09-15,Dimensional Out-of-Spec,Major,Scrap,12.48,Environmental,True
QE-000107,PRD-RUN-000081,JOB-00020,PRD-006,MCH-018,OPR-012,2025-09-15,Contamination,Minor,Rework,36.56,Machine Calibration,True
QE-000108,PRD-RUN-000081,JOB-00020,PRD-006,MCH-018,OPR-012,2025-09-15,Crack/Fracture,Minor,Rework,20.96,Environmental,True
QE-000109,PRD-RUN-000082,JOB-00021,PRD-008,MCH-004,OPR-015,2025-01-10,Tool Wear Damage,Major,Rework,25.43,Tool Wear,False
QE-000110,PRD-RUN-000083,JOB-00021,PRD-008,MCH-009,OPR-014,2025-01-10,Alignment Error,Minor,Rework,50.89,Environmental,False
QE-000111,PRD-RUN-000084,JOB-00021,PRD-008,MCH-016,OPR-001,2025-01-10,Material Defect,Major,Rework,75.81,Environmental,False
QE-000112,PRD-RUN-000085,JOB-00021,PRD-008,MCH-017,OPR-014,2025-01-10,Alignment Error,Minor,Rework,115.13,Tool Wear,True
QE-000113,PRD-RUN-000086,JOB-00022,PRD-002,MCH-005,OPR-005,2025-03-03,Dimensional Out-of-Spec,Minor,Use As-Is,0.0,Tool Wear,False
QE-000114,PRD-RUN-000087,JOB-00022,PRD-002,MCH-012,OPR-008,2025-03-03,Alignment Error,Minor,Rework,113.25,Tool Wear,True
QE-000115,PRD-RUN-000088,JOB-00022,PRD-002,MCH-015,OPR-005,2025-03-03,Alignment Error,Minor,Rework,106.6,Environmental,False
QE-000116,PRD-RUN-000089,JOB-00022,PRD-002,MCH-018,OPR-002,2025-03-04,Assembly Error,Major,Rework,96.0,Environmental,True
QE-000117,PRD-RUN-000089,JOB-00022,PRD-002,MCH-018,OPR-002,2025-03-04,Material Defect,Minor,Rework,19.27,Process Drift,False
QE-000118,PRD-RUN-000090,JOB-00023,PRD-003,MCH-004,OPR-005,2024-08-19,Crack/Fracture,Minor,Rework,57.59,Material Variation,False
QE-000119,PRD-RUN-000091,JOB-00023,PRD-003,MCH-009,OPR-001,2024-08-19,Alignment Error,Major,Scrap,33.81,Environmental,True
QE-000120,PRD-RUN-000092,JOB-00023,PRD-003,MCH-006,OPR-015,2024-08-19,Crack/Fracture,Major,Rework,116.59,Environmental,False
QE-000121,PRD-RUN-000093,JOB-00023,PRD-003,MCH-017,OPR-003,2024-08-19,Alignment Error,Minor,Rework,63.54,Operator Error,False
QE-000122,PRD-RUN-000094,JOB-00024,PRD-006,MCH-005,OPR-009,2024-06-07,Tool Wear Damage,Major,Scrap,15.31,Environmental,True
QE-000123,PRD-RUN-000095,JOB-00024,PRD-006,MCH-010,OPR-004,2024-06-07,Tool Wear Damage,Minor,Rework,119.51,Tool Wear,False
QE-000124,PRD-RUN-000096,JOB-00024,PRD-006,MCH-012,OPR-004,2024-06-07,Tool Wear Damage,Major,Rework,80.42,Tool Wear,False
QE-000125,PRD-RUN-000097,JOB-00024,PRD-006,MCH-018,OPR-016,2024-06-07,Assembly Error,Minor,Use As-Is,0.0,Operator Error,False
QE-000126,PRD-RUN-000098,JOB-00025,PRD-005,MCH-003,OPR-002,2024-12-10,Assembly Error,Critical,Use As-Is,0.0,Machine Calibration,False
QE-000127,PRD-RUN-000099,JOB-00025,PRD-005,MCH-008,OPR-002,2024-12-10,Crack/Fracture,Major,Rework,96.77,Machine Calibration,True
QE-000128,PRD-RUN-000100,JOB-00025,PRD-005,MCH-014,OPR-005,2024-12-10,Dimensional Out-of-Spec,Major,Use As-Is,0.0,Process Drift,False
QE-000129,PRD-RUN-000101,JOB-00025,PRD-005,MCH-018,OPR-005,2024-12-10,Crack/Fracture,Minor,Rework,116.46,Material Variation,True
QE-000130,PRD-RUN-000102,JOB-00026,PRD-002,MCH-005,OPR-005,2024-04-08,Contamination,Major,Scrap,53.01,Process Drift,True
QE-000131,PRD-RUN-000103,JOB-00026,PRD-002,MCH-012,OPR-010,2024-04-08,Dimensional Out-of-Spec,Minor,Rework,28.85,Process Drift,True
QE-000132,PRD-RUN-000103,JOB-00026,PRD-002,MCH-012,OPR-010,2024-04-08,Alignment Error,Minor,Use As-Is,0.0,Process Drift,False
QE-000133,PRD-RUN-000104,JOB-00026,PRD-002,MCH-013,OPR-016,2024-04-08,Alignment Error,Minor,Rework,117.81,Machine Calibration,False
QE-000134,PRD-RUN-000104,JOB-00026,PRD-002,MCH-013,OPR-016,2024-04-08,Contamination,Minor,Rework,99.42,Operator Error,True
QE-000135,PRD-RUN-000105,JOB-00026,PRD-002,MCH-017,OPR-004,2024-04-09,Alignment Error,Minor,Rework,42.78,Operator Error,False
QE-000136,PRD-RUN-000105,JOB-00026,PRD-002,MCH-017,OPR-004,2024-04-09,Surface Finish Defect,Major,Rework,118.67,Tool Wear,True
QE-000137,PRD-RUN-000106,JOB-00027,PRD-003,MCH-001,OPR-001,2024-08-23,Surface Finish Defect,Critical,Scrap,20.51,Process Drift,False
QE-000138,PRD-RUN-000107,JOB-00027,PRD-003,MCH-008,OPR-004,2024-08-23,Alignment Error,Minor,Rework,113.68,Process Drift,True
QE-000139,PRD-RUN-000108,JOB-00027,PRD-003,MCH-007,OPR-004,2024-08-23,Alignment Error,Major,Rework,103.32,Process Drift,False
QE-000140,PRD-RUN-000109,JOB-00027,PRD-003,MCH-017,OPR-007,2024-08-23,Dimensional Out-of-Spec,Minor,Rework,43.87,Environmental,False
QE-000141,PRD-RUN-000115,JOB-00029,PRD-007,MCH-002,OPR-008,2025-06-18,Tool Wear Damage,Major,Rework,105.34,Environmental,True
QE-000142,PRD-RUN-000116,JOB-00029,PRD-007,MCH-010,OPR-009,2025-06-18,Material Defect,Major,Rework,21.34,Operator Error,False
QE-000143,PRD-RUN-000117,JOB-00029,PRD-007,MCH-010,OPR-015,2025-06-18,Crack/Fracture,Minor,Rework,114.98,Environmental,True
QE-000144,PRD-RUN-000118,JOB-00029,PRD-007,MCH-011,OPR-014,2025-06-18,Tool Wear Damage,Minor,Use As-Is,0.0,Process Drift,True
QE-000145,PRD-RUN-000119,JOB-00029,PRD-007,MCH-017,OPR-001,2025-06-18,Crack/Fracture,Major,Scrap,57.77,Process Drift,True
QE-000146,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Surface Finish Defect,Major,Rework,69.71,Material Variation,False
QE-000147,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Tool Wear Damage,Critical,Scrap,11.95,Machine Calibration,False
QE-000148,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Assembly Error,Minor,Rework,17.77,Machine Calibration,True
QE-000149,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Tool Wear Damage,Minor,Rework,68.81,Environmental,False
QE-000150,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Surface Finish Defect,Critical,Rework,92.2,Material Variation,False
QE-000151,PRD-RUN-000120,JOB-00030,PRD-008,MCH-002,OPR-005,2024-11-18,Alignment Error,Minor,Rework,26.79,Process Drift,True
QE-000152,PRD-RUN-000121,JOB-00030,PRD-008,MCH-010,OPR-008,2024-11-19,Material Defect,Major,Rework,16.57,Process Drift,True
QE-000153,PRD-RUN-000121,JOB-00030,PRD-008,MCH-010,OPR-008,2024-11-19,Contamination,Minor,Use As-Is,0.0,Process Drift,False
QE-000154,PRD-RUN-000121,JOB-00030,PRD-008,MCH-010,OPR-008,2024-11-19,Crack/Fracture,Major,Scrap,9.69,Machine Calibration,False
QE-000155,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Tool Wear Damage,Minor,Rework,50.49,Machine Calibration,False
QE-000156,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Dimensional Out-of-Spec,Critical,Scrap,8.89,Tool Wear,True
QE-000157,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Assembly Error,Major,Scrap,9.73,Machine Calibration,True
QE-000158,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Contamination,Major,Use As-Is,0.0,Operator Error,False
QE-000159,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Assembly Error,Minor,Scrap,8.32,Material Variation,False
QE-000160,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Dimensional Out-of-Spec,Major,Scrap,7.29,Tool Wear,True
QE-000161,PRD-RUN-000122,JOB-00030,PRD-008,MCH-014,OPR-007,2024-11-20,Tool Wear Damage,Major,Scrap,7.43,Material Variation,False
QE-000162,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Alignment Error,Major,Rework,34.67,Machine Calibration,True
QE-000163,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Alignment Error,Critical,Scrap,10.3,Machine Calibration,False
QE-000164,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Assembly Error,Minor,Rework,29.1,Tool Wear,False
QE-000165,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Tool Wear Damage,Minor,Rework,117.08,Process Drift,True
QE-000166,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Surface Finish Defect,Major,Use As-Is,0.0,Machine Calibration,True
QE-000167,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Tool Wear Damage,Minor,Rework,15.5,Operator Error,True
QE-000168,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Material Defect,Minor,Use As-Is,0.0,Environmental,False
QE-000169,PRD-RUN-000123,JOB-00030,PRD-008,MCH-018,OPR-016,2024-11-23,Material Defect,Minor,Rework,46.88,Material Variation,False
QE-000170,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Contamination,Minor,Use As-Is,0.0,Operator Error,True
QE-000171,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Surface Finish Defect,Major,Rework,99.28,Operator Error,True
QE-000172,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Crack/Fracture,Minor,Use As-Is,0.0,Process Drift,True
QE-000173,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Alignment Error,Critical,Scrap,9.81,Environmental,False
QE-000174,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Alignment Error,Minor,Use As-Is,0.0,Process Drift,False
QE-000175,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Alignment Error,Minor,Rework,76.74,Environmental,False
QE-000176,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Material Defect,Minor,Use As-Is,0.0,Environmental,True
QE-000177,PRD-RUN-000124,JOB-00031,PRD-006,MCH-006,OPR-010,2024-11-25,Material Defect,Minor,Rework,45.52,Environmental,False
